RefineryID,Region,Capacity,OperationalStatus,AverageShipmentValue,SupplierDiversity,MaintenanceCost,EfficiencyScore,AverageVolumePerShipment
R001,South,650000.0,Closed,170059.10848006007,6.0,178761.9127764518,0.9930005319114354,330000.0
R002,South,650000.0,Under Maintenance,170059.10848006004,6.0,114349.10410625277,0.8766890926294708,330000.0
R003,East,650000.0,Operational,170059.10848006007,6.0,162630.6601687246,0.6881297927654579,330000.0
R004,West,650000.0,Closed,170059.10848006004,6.0,163181.43111270235,0.5417503583493344,330000.0
R005,West,650000.0,Operational,170059.10848006007,6.0,65468.58032538989,0.8885734579637183,330000.0
R006,East,650000.0,Operational,170059.10848006004,6.0,185382.936001935,0.7792021248679025,330000.0
R007,South,650000.0,Closed,170059.10848006004,6.0,125787.85586717856,0.7121110046234882,330000.0
R008,South,650000.0,Under Maintenance,170059.10848006004,6.0,173968.61991616123,0.953177192547368,330000.0
R009,West,650000.0,Closed,170059.10848006004,6.0,98007.44015459176,0.5555987411530756,330000.0
R010,North,650000.0,Operational,170059.10848006004,6.0,184328.48427443008,0.7463125521454296,330000.0
R011,North,650000.0,Under Maintenance,170059.10848006007,6.0,108380.25181012446,0.5056768223837096,330000.0
R012,North,650000.0,Closed,170059.10848006004,6.0,51625.64772204476,0.7343303209970631,330000.0
R013,South,650000.0,Closed,170059.10848006004,6.0,185807.2964628896,0.5281516378409187,330000.0
R014,South,650000.0,Under Maintenance,170059.10848006004,6.0,63693.00151792004,0.559408958134036,330000.0
R015,West,650000.0,Operational,170059.10848006004,6.0,97897.04563856224,0.5587631233885524,330000.0
R016,North,650000.0,Closed,170059.10848006004,6.0,192509.29505762077,0.8246051510580318,330000.0
R017,West,650000.0,Closed,170059.10848006004,6.0,192591.0720406334,0.8730224396327116,330000.0
R018,West,650000.0,Closed,170059.10848006004,6.0,136015.68321849292,0.7916843825485798,330000.0
R019,West,650000.0,Operational,170059.10848006004,6.0,144775.5818254699,0.981086274237271,330000.0
R020,East,650000.0,Closed,170059.10848006004,6.0,117266.82829674796,0.6874352897618521,330000.0
R021,North,650000.0,Under Maintenance,170059.10848006004,6.0,93981.61575470968,0.6428560431409304,330000.0
R022,North,650000.0,Under Maintenance,170059.10848006004,6.0,99299.6818054874,0.93429956409473,330000.0
R023,East,650000.0,Closed,170059.10848006007,6.0,150877.76841155576,0.6117979192597263,330000.0
R024,East,650000.0,Closed,170059.10848006004,6.0,162856.179415652,0.9816112697203055,330000.0
R025,North,650000.0,Under Maintenance,170059.10848006004,6.0,168736.85655887728,0.5060772373449082,330000.0
R026,East,650000.0,Under Maintenance,170059.10848006004,6.0,168442.72141918307,0.9849394133538196,330000.0
R027,West,650000.0,Closed,170059.10848006004,6.0,63680.91545730356,0.5215799559752881,330000.0
R028,South,650000.0,Under Maintenance,170059.10848006007,6.0,124163.04570538722,0.9455715568490356,330000.0
R029,West,650000.0,Operational,170059.10848006004,6.0,58633.81400249664,0.76385055454315,330000.0
R030,North,650000.0,Operational,170059.10848006004,6.0,132429.33234856033,0.9964823980596502,330000.0
R031,East,650000.0,Operational,170059.10848006004,6.0,116229.57520600656,0.5368982823676994,330000.0
R032,South,650000.0,Operational,170059.10848006004,6.0,183155.62741374492,0.7769271422006604,330000.0
R033,North,650000.0,Under Maintenance,170059.10848006004,6.0,102637.2518828118,0.9846512678095496,330000.0
R034,East,650000.0,Operational,170059.10848006004,6.0,67560.05246414088,0.7615489220850744,330000.0
R035,South,650000.0,Closed,170059.10848006004,6.0,71448.75230792537,0.8146993190676313,330000.0
R036,South,650000.0,Closed,170059.10848006004,6.0,164226.59475762083,0.8478743444923086,330000.0
R037,East,650000.0,Operational,170059.10848006004,6.0,142732.70949743915,0.7272705323838866,330000.0
R038,South,650000.0,Closed,170059.10848006004,6.0,65168.401418418536,0.8137790400420317,330000.0
R039,North,650000.0,Operational,170059.10848006004,6.0,62616.02091724961,0.7921571559615501,330000.0
R040,East,650000.0,Operational,170059.10848006004,6.0,155145.369718868,0.9505790052454944,330000.0
R041,West,650000.0,Operational,170059.10848006004,6.0,60914.45095462903,0.522723190170729,330000.0
R042,North,650000.0,Closed,170059.10848006007,6.0,173279.00889355343,0.6404815947961151,330000.0
R043,North,650000.0,Closed,170059.10848006004,6.0,155936.33407347443,0.9752057420382794,330000.0
R044,East,650000.0,Operational,170059.10848006004,6.0,62202.31709628497,0.945131891945458,330000.0
R045,East,650000.0,Operational,170059.10848006004,6.0,62725.65711277879,0.7278283763928565,330000.0
R046,South,650000.0,Operational,170059.10848006007,6.0,197995.93677517632,0.8100662989007683,330000.0
R047,North,650000.0,Operational,170059.10848006004,6.0,106140.61936341804,0.6386905914905663,330000.0
R048,South,650000.0,Under Maintenance,170059.10848006004,6.0,105596.32206003364,0.5940605798618807,330000.0
R049,North,650000.0,Operational,170059.10848006004,6.0,171919.93508862538,0.7318492024699911,330000.0
R050,North,650000.0,Closed,170059.10848006004,6.0,192087.2866075788,0.6766761140130264,330000.0
